day_of_year,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,Median,Average
26,95348.93170600788,76596.30117688222,80186.8874149503,80764.47222350103,71175.68758043273,82203.28783005776,105673.68643841965,98563.62031252612,68680.27549828637,122303.36486857323,84397.48566992128,96930.4086259865,88089.04,83300.38674998953,88568.70077879542
27,87158.28063909027,73965.81775660804,80509.20985653988,81519.55338274,75100.6967915757,81961.02009654563,109970.48700034758,91489.50402115872,68767.74858426247,122908.83023711116,85222.827398223,95423.29644248157,89138.78,83591.92374738431,87833.10601722368
28,92247.10506752727,66153.14133083113,78075.47142099316,80932.66146178404,76885.37530453563,79273.46337278461,112522.31809755533,101087.73882834433,70397.31555487996,122219.20731426675,84456.43142853942,94661.50509761248,89106.74,82694.54644516173,88242.6445233045
29,93048.93780400524,66271.3020833996,77037.1035553659,80774.2094951911,72943.14338584089,78748.54995017503,115186.38136368903,103874.29976498446,71070.60230722328,126451.17572911276,87192.42459725072,97111.20965205776,84162.46,83983.31704622091,89142.44497402465
30,93595.21566248294,64934.96023887529,77016.70340083491,81439.88479618491,66344.68536937046,79747.38520576926,117665.61343413277,103467.85651259279,71002.0029270442,120912.02037511517,87257.78058073402,98158.10274439267,84086.21,84348.83268845946,88461.85093729412
31,94133.28763038263,64206.302264703074,77269.66531701917,84700.10039932345,65451.26560081975,79158.78997892221,115397.51118642106,99814.45402363222,71871.70702753853,123127.51196308927,86168.99276554475,95725.29942005037,78489.63,85434.5465824341,88085.40729812054
32,95209.43156618201,64057.194648366676,75980.37555066078,86469.62822736417,59564.76681059599,79916.51115687819,115431.21787741862,101548.61994749038,72421.43641084233,126368.88360507907,86917.47246005315,94092.20986823211,76840.37,86693.55034370866,88164.81234409695
33,95540.0117294668,63829.31319698464,76367.97848674955,88734.8717050811,46921.269414613416,79884.67025475945,115536.9062565172,107305.96752838456,69075.05362568036,125119.25851434484,87208.7029285329,91042.12305729181,78564.03,87971.787316807,87213.84389153389
34,94575.23345151158,64394.796798562296,75478.53174919852,89537.75401625315,59785.453215346824,79045.27024093368,114172.2174081798,113192.62013092088,69162.65751951841,124930.58356675465,87149.08985943985,94952.25307319578,75827.62,88343.42193784649,88864.70508581796
35,93806.22427734557,63711.15244441618,79119.95933297968,91359.50902881332,54355.97828825548,79132.71735617281,112746.90590313985,112239.80658171399,75929.2921581747,124768.93070911597,86222.64048342261,90781.46957121046,72896.27,88502.05502731653,88681.21551123004
36,91482.78497369154,61300.11042176914,78777.2367368591,89517.39426635575,46949.75564193288,79516.6540309958,119111.17364731782,114631.7835129882,77840.88087917701,122116.82184129479,86150.63161671962,90450.74854781014,63960.689999999995,87834.01294153769,88153.83134307597
37,89515.71577513884,62844.64025891409,76722.94117558871,90565.47878281407,50178.3257092998,78130.88259530654,120184.10824354072,118782.30873859594,78214.13176985993,121937.74053510751,87177.68310221378,90446.47876336309,70866.09,88346.69943867631,88725.0362874786
38,83242.898563306,64406.05020356882,76743.3413301197,92725.38268497483,50312.30920607139,78020.13163141528,120666.99054570735,117164.14013170217,82114.65403195751,123607.78031131951,89281.93546646902,89864.3741806415,69184.54,86262.4170148875,89012.49902393775
39,79771.80684881579,62937.480850217886,76049.73607606615,93565.44366987258,53920.69563769793,83628.74502780807,122062.91673039045,135035.24081829138,82489.17562758518,122076.954931465,91503.43225901514,90461.76946073603,70716.78,87045.25724427204,91125.2831614968
40,80507.99246066983,62231.329686058714,76253.73762137601,86438.6459992594,55868.040331489065,83868.01325604811,124950.70352798054,140965.16609318124,83148.33513083687,116519.25187075516,95632.91125007116,89647.27998677017,70130.11,85153.32962765376,91335.95060120802
41,80734.24058660588,62236.95638856197,77561.38752681226,88308.20216375263,55782.84359185082,84293.02007998081,121878.82634109604,136178.40584393207,81700.87139090455,115304.4836771181,96684.14768489888,91271.57715350995,68463.88,86300.61112186672,90994.58020241866
42,79362.68458999881,61803.700295810944,77016.70340083491,89601.48888549725,54367.76569266353,83435.6230345227,126386.6332580234,144314.63388483025,79120.2565164913,116437.54602480722,97112.41945909224,89581.7350500827,67223.2,86508.6790423027,91545.09917438793
43,76385.11858027065,62383.25065364674,78136.6718845861,88599.43510793742,58370.04788825933,83109.13842221827,127766.63210520218,144084.9024659827,78791.03181477648,116232.88167487891,101283.85812395018,91523.80343344576,66120.0,85854.28676507785,92222.23101292957
44,72123.91683012816,66721.43828366042,79332.12094010194,88521.53693441687,55841.780613891104,82993.77283483154,126297.6130228247,142690.490390122,78845.4852590265,116319.17114949712,100144.77936478723,90430.37343606274,68914.41,85757.65488462421,91688.53992161254
45,78573.7468244291,72353.76748942396,81947.42075097446,89482.87121218185,61858.923136304176,82714.35738218093,127740.45694589271,147809.6716705054,79654.51319840903,118052.4756609604,104772.25396390124,91339.03225692373,69929.0,86098.6142971814,94691.6242076739
46,76880.98882519781,65697.37842806705,81704.65891205572,89559.88417918513,66137.42350852878,82908.86376251493,122236.0184914842,145846.86067103862,82520.38264608124,129298.83498752951,104830.55263357399,91486.23682116147,68530.75,86234.37397085002,94925.67365553488
47,73185.99352493671,66758.0118499316,82916.42809119634,91580.81065813306,66799.1552948811,83195.66261275831,121899.19851697369,147865.58817111285,82472.73121065312,127142.61078422217,104999.80683584975,90407.96643127801,68504.29,86801.81452201816,94935.33033182722
48,73936.24637778162,68254.71471579885,85111.48471873053,93692.0282018435,72522.66047637345,83611.44018970006,119265.13790985983,157241.72613832497,76095.77319277439,130876.93570029712,104685.05872851136,89518.43736836735,67584.7,87314.96104354894,96234.30364319692
