date,BTC Price,Bitcoin Market Cap,Bitcoin Supply,Non-Zero Address Count,Addresses Holding 0.001+ BTC,Addresses Holding 0.01+ BTC,Addresses Holding 0.1+ BTC,Metcalfe Value (Any Balance),Metcalfe Value (0.001+ BTC),Metcalfe Value (0.01+ BTC),Metcalfe Value (0.1+ BTC),Metcalfe Scale (Any Balance),Metcalfe Scale (0.001+ BTC),Metcalfe Scale (0.01+ BTC),Metcalfe Scale (0.1+ BTC),BTC Price / Metcalfe Value,Power Law Price,BTC Price / Power Law Price,Days Since Genesis,Power Law Exponent,Power Law Scale,Hash Rate (H/s),Hash Rate 30-Day MA (H/s),Hash Rate 60-Day MA (H/s),Hash Ribbon 30D / 60D,Hash Ribbon Capitulation
2020-03-19,6238.8,114031178792.45,18277742.32103267,29554153,15465205,8061592,2925442,13522.574201387795,14523.160011813876,10675.800790090718,7301.619246479506,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.46136186106930177,10665.774938115395,0.5849364004208375,4093.0,5.631102078088261,4.8777174654786374e-17,8.886783386610998e+19,1.1195045641842539e+20,1.1186668472391877e+20,1.0007488529289428,False
2020-03-20,6205.35,113428243101.02,18279104.82100537,29628332,15526001,8085759,2927762,13589.527931633738,14636.47875136748,10739.103916981474,7312.659711677551,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.456627340641846,10680.457091918517,0.5810004147383678,4094.0,5.631102078088261,4.8777174654786374e-17,9.133638480683527e+19,1.1136268783647474e+20,1.1151588790745144e+20,0.998626204087584,True
2020-03-21,6174.03,112865311284.49,18280654.82099991,29644407,15533966,8086302,2924576,13603.124570597605,14650.257647787468,10739.635655633543,7296.1343667028505,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.45386851880668805,10695.155863460788,0.5772734945446768,4095.0,5.631102078088261,4.8777174654786374e-17,1.0203343888331148e+20,1.1149214308821157e+20,1.1134337532559204e+20,1.0013361168743493,False
2020-03-22,5896.83,107807274985.74,18282242.32099991,29679719,15562298,8101577,2925314,13634.367558704982,14702.47006748855,10779.312176316844,7299.1832424844,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4324975085650465,10709.871267485756,0.5505976545117088,4096.0,5.631102078088261,4.8777174654786374e-17,1.0450198982403672e+20,1.109568115449004e+20,1.1116303611178836e+20,0.9981448458579292,True
2020-03-23,6453.49,117993302882.14,18283642.32099991,29724468,15595721,8113009,2928954,13674.465290441784,14764.559968818678,10808.926938752846,7316.7991511184955,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4719372833181915,10724.603318746447,0.6017462658706821,4097.0,5.631102078088261,4.8777174654786374e-17,9.215923512041036e+19,1.1021614362449974e+20,1.1074025745887365e+20,0.9952671788345033,True
2020-03-24,6760.22,123612598854.27,18285292.32099991,29746268,15610270,8119746,2930212,13693.294674592893,14790.785275696591,10825.908764445914,7322.42489327188,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49368834605912576,10739.352032005372,0.6294811809737888,4098.0,5.631102078088261,4.8777174654786374e-17,1.086162413919122e+20,1.1012708696966486e+20,1.1068970053906335e+20,0.9949172003659009,True
2020-03-25,6665.52,121888647019.47,18286442.32099991,29828646,15682263,8152681,2938293,13768.376981421909,14926.588343175083,10913.223787503763,7362.405420912968,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4841180633704314,10754.117422034516,0.6198109745707969,4099.0,5.631102078088261,4.8777174654786374e-17,7.65250791624836e+19,1.0904560819956916e+20,1.0994514118565437e+20,0.9918183470739625,True
2020-03-26,6747.4,123399435716.49,18288442.32096715,29725734,15590167,8118221,2936663,13672.040820920309,14750.173473685063,10819.978683744832,7353.43493831168,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49351812859390004,10768.899503615363,0.6265635590465622,4100.0,5.631102078088261,4.8777174654786374e-17,1.1065525147228923e+20,1.089618092320251e+20,1.1003874834933555e+20,0.9902130919020312,True
2020-03-27,6662.84,121865874286.29,18290379.82096169,29638929,15538545,8106265,2938670,13590.867470915195,14651.101794350217,10786.989410831315,7362.709456533151,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.49024390932062645,10783.698291538876,0.6178622416789803,4101.0,5.631102078088261,4.8777174654786374e-17,1.0719727486378018e+20,1.0901936392514665e+20,1.1019714543859918e+20,0.989312050609253,True
2020-03-28,6229.54,113951165058.62,18292067.32096169,29688277,15591245,8131810,2945678,13634.904007940573,14749.28988424277,10854.080468984619,7397.185328723125,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4568818376991944,10798.513800605524,0.5768886455144114,4102.0,5.631102078088261,4.8777174654786374e-17,9.405696375144584e+19,1.0827964088119478e+20,1.0994521149037155e+20,0.9848509035855315,True
2020-03-29,5897.31,107885122705.2,18293954.82096169,29729024,15625816,8143090,2947315,13670.946695619341,14813.242077370885,10883.090730743992,7404.645218939694,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4313753927436283,10813.346045625263,0.5453732799373294,4103.0,5.631102078088261,4.8777174654786374e-17,1.0443089357697296e+20,1.0770608181476268e+20,1.096355291881079e+20,0.9824012581721137,True
2020-03-30,6462.71,118240399990.56,18295792.32095623,29714129,15628381,8152344,2952590,13655.879503046568,14816.617480440633,10906.744882679171,7430.427746866404,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4732547616986659,10828.195041417564,0.5968409301162662,4104.0,5.631102078088261,4.8777174654786374e-17,1.0304770293356936e+20,1.0754833157925908e+20,1.0934123490586444e+20,0.983602679006242,True
2020-03-31,6440.67,117849961559.22,18297779.82092347,29673977,15618086,8152671,2955713,13617.519411734917,14795.49613054161,10906.43508191081,7445.345816567689,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4729694010533037,10843.060802811395,0.5939900289344554,4105.0,5.631102078088261,4.8777174654786374e-17,1.1065525147228923e+20,1.0666901201410577e+20,1.093403116213774e+20,0.9755689409728246,True
2020-04-01,6666.46,121994166869.74,18299692.32092347,29644658,15620596,8161295,2959633,13589.203112180649,14798.705340346529,10928.37897606925,7464.327441730637,0.0002829729282304137,0.0011098705054862863,0.00300248870620607,0.015594043748762854,0.4905703406570276,10857.943344645237,0.6139707851107612,4106.0,5.631102078088261,4.8777174654786374e-17,1.0581408422037658e+20,1.063725168953081e+20,1.0916900608873454e+20,0.9743838540477927,True
