date,BTC Price,Fleet Efficiency (J/GH),Network Power Draw (W),Daily Electricity Consumption (kWh),Subsidy (BTC),Fees (BTC),Miner Revenue (BTC),Power Expense ($0.03/kWh),Power Expense ($0.04/kWh),Power Expense ($0.05/kWh),Power Expense ($0.06/kWh),Power Expense ($0.07/kWh),Power-Only Break-Even Tariff ($/kWh),Legacy PUE/Subsidy-Only Cost,Bitcoin Production Cost,Hayes Network Price,Energy Value
2025-10-22,107230.61,0.03159476792,35486212058.66925,851669089.408062,481.25,2.92215351,484.17215351,52770.63642966024,70360.84857288034,87951.06071610043,105541.27285932048,123131.48500254059,0.0609603847451781,97333.61021806425,162222.68369677375,88485.10019824022,265338.15558883094
2025-10-23,109786.95,0.03159476792,32721052677.47425,785305264.2593821,443.75,2.68220133,446.43220133,52772.08466950769,70362.77955934359,87953.47444917948,105544.16933901538,123134.8642288513,0.062411946024620184,97333.61021806428,162222.6836967738,88485.10019824024,244720.44760818317
2025-10-24,110911.51,0.03159476792,41477390717.92511,995457377.2302027,562.5,2.91815707,565.41815707,52817.05396880081,70422.73862506775,88028.42328133468,105634.10793760161,123239.79259386855,0.06299755571307467,97333.61021806426,162222.68369677378,88485.10019824022,310025.321013736
2025-10-25,111414.33,0.03159476792,36868791749.26676,884851001.9824023,500.0,2.17009329,502.17009329,52861.630778442624,70482.17437125684,88102.71796407105,105723.26155688525,123343.80514969947,0.06322979164243016,97333.61021806426,162222.68369677378,88485.10019824024,275545.4310258522
2025-10-26,114719.77,0.03159476792,34334062316.50467,824017495.596112,465.625,2.06614987,467.69114987,52856.51626026001,70475.35501368003,88094.19376710003,105713.03252052002,123331.87127394005,0.06511199268324745,97333.61021806423,162222.68369677372,88485.10019824022,256601.6826428248
2025-10-27,113826.07,0.03159476792,34103632368.071747,818487176.8337219,462.5,2.86714246,465.36714246,52763.96432978122,70351.9524397083,87939.94054963537,105527.92865956244,123115.91676948953,0.06471807308975489,97333.61021806423,162222.68369677372,88485.10019824021,254970.11130364446
2025-10-28,113186.28,0.03159476792,37560081594.565506,901441958.2695721,509.375,2.95480284,512.32980284,52784.86357455325,70379.81809940434,87974.77262425543,105569.7271491065,123164.68167395762,0.0643288278126186,97333.61021806426,162222.68369677378,88485.10019824022,280844.9309154509
2025-10-29,110824.46,0.03159476792,30131164393.63674,723147945.4472817,384.375,2.60840325,386.98340325,56060.384453757455,74747.1792716766,93433.97408959577,112120.76890751491,130807.56372543407,0.05930629681540044,103474.82796644032,172458.04661073387,94068.02542403666,225457.56456672054
2025-10-30,107571.52,0.03159476792,39195010593.34862,940680254.2403668,500.0,2.8674976,502.8674976,56118.973212419856,74825.29761655981,93531.62202069975,112237.94642483971,130944.27082897967,0.0575054284721979,103474.82796644037,172458.04661073396,94068.02542403666,293312.8713082279
2025-10-31,109678.04,0.03159476792,34540603085.388466,828974474.0493232,440.625,3.50865746,444.13365746,55994.93261489531,74659.91015319375,93324.88769149219,111989.86522979062,130654.84276808907,0.05876141011954233,103474.82796644035,172458.04661073393,94068.02542403668,258573.97712512143
2025-11-01,109769.88,0.03206635935,34558914225.49237,829413941.4118168,434.375,2.48376713,436.85876713,56957.58014843736,75943.44019791648,94929.3002473956,113915.16029687472,132901.02034635385,0.057816648660597054,105019.31920034517,175032.19866724196,95472.10836395016,258803.13041347844
2025-11-02,109877.2,0.03206635935,38536918740.65695,924886049.7757668,484.375,2.08901564,486.46401564,57037.27429205457,76049.69905607277,95062.12382009096,114074.54858410914,133086.97334812733,0.057792312850040675,105019.31920034514,175032.1986672419,95472.10836395013,288524.9335038963
2025-11-03,106150.4,0.03206635935,35553415354.28351,853281968.5028042,446.875,3.15778072,450.03278072,56881.320987616884,75841.76131682252,94802.20164602814,113762.64197523377,132723.08230443942,0.05598519768366966,105019.31920034514,175032.1986672419,95472.10836395016,266124.4070927416
2025-11-04,101110.55,0.03206635935,33067162532.305637,793611900.7753353,415.625,3.99106784,419.61606784,56738.430312773926,75651.2404170319,94564.05052128989,113476.86062554785,132389.67072980586,0.05346141025189919,105019.31920034513,175032.19866724187,95472.10836395013,247631.77226613398
2025-11-05,103609.3,0.03206635935,34310288943.294582,823446934.6390699,431.25,4.18353984,435.43353984,56732.90130165298,75643.86840220397,94554.83550275497,113465.80260330596,132376.76970385696,0.054787943656769006,105019.31920034517,175032.19866724196,95472.10836395014,256941.23738892103
2025-11-06,101173.02,0.03206635935,35056164789.88794,841347954.9573106,440.625,3.40081513,444.02581513,56844.52972926704,75792.70630568938,94740.88288211173,113689.05945853407,132637.23603495644,0.05339459424601939,105019.31920034515,175032.19866724193,95472.10836395014,262589.214413972
2025-11-07,103569.46,0.03206635935,35304790072.085724,847314961.7300574,443.75,3.37368628,447.12368628,56851.04509534623,75801.39346046164,94751.74182557706,113702.09019069246,132652.43855580786,0.05465306389335564,105019.31920034515,175032.19866724193,95472.10836395014,264545.7728938821
2025-11-08,102316.64,0.03206635935,30332284428.129986,727974826.2751197,381.25,2.65675862,383.90675862,56886.846344558864,75849.12845941182,94811.41057426477,113773.69268911773,132735.9748039707,0.05395797793761145,105019.31920034514,175032.1986672419,95472.10836395013,227366.76937509616
2025-11-09,104653.43,0.03206635935,35056164789.88794,841347954.9573106,440.625,2.29472505,442.91972505,56986.48586009573,75981.98114679431,94977.47643349289,113972.97172019146,132968.46700689007,0.05509381483371092,105019.31920034515,175032.19866724193,95472.10836395014,262776.3482122013
2025-11-10,105902.71,0.03206635935,34807539507.690155,835380948.1845638,437.5,3.85990201,441.35990201,56782.29565351202,75709.72753801603,94637.15942252004,113564.59130702403,132492.02319152807,0.05595196994828609,105019.31920034517,175032.19866724196,95472.10836395014,260974.66610161154
2025-11-11,102899.12,0.03206635935,38039668176.261375,912952036.230273,478.125,2.68989415,480.81489415,56962.796743904044,75950.39565853874,94937.99457317343,113925.59348780809,132913.1924024428,0.0541928026090179,105019.31920034514,175032.1986672419,95472.10836395016,285106.43211950746
2025-11-12,101722.09,0.03206635935,34466919874.654236,827206076.9917016,443.75,2.61140407,446.36140407,55596.61315578102,74128.81754104135,92661.0219263017,111193.22631156204,129725.43069682238,0.05488936334034016,102526.95038770388,170878.25064617314,93206.31853427624,258359.44670698064
2025-11-13,99770.43,0.03206635935,36894167753.15101,885460026.0756242,475.0,3.00860836,478.00860836,55571.80418446121,74095.73891261495,92619.67364076868,111143.60836892242,129667.54309707618,0.05386027939753166,102526.95038770387,170878.2506461731,93206.31853427622,276488.086675189
2025-11-14,94642.01,0.03206635935,35195094238.20326,844682261.7168783,453.125,3.47161425,456.59661425,55498.58904041654,73998.11872055537,92497.64840069425,110997.17808083308,129496.70776097194,0.051159143846563816,102526.95038770388,170878.25064617314,93206.31853427624,263661.16709373257
2025-11-15,95521.78,0.03206635935,34709644662.50391,833031471.9000938,446.875,2.56695356,449.44195356,55604.38663780984,74139.18218374645,92673.97772968307,111208.77327561968,129743.5688215563,0.051536462737481484,102526.95038770387,170878.2506461731,93206.31853427626,260086.23066064419
2025-11-16,94140.65,0.03206635935,38593241268.09876,926237790.4343704,496.875,2.60749462,499.48249462,55631.846986291705,74175.79598172227,92719.74497715286,111263.69397258341,129807.642968014,0.050766236481343464,102526.95038770391,170878.2506461732,93206.31853427623,289186.7879373596
2025-11-17,92102.6,0.03206635935,30340598481.20971,728174363.5490329,390.625,4.48691419,395.11191419,55288.717251806615,73718.28966907549,92147.86208634436,110577.43450361323,129007.00692088212,0.049975440511955696,102526.95038770385,170878.25064617308,93206.31853427626,227483.11630034598
2025-11-18,93121.55,0.03206635935,32767846359.706486,786428312.6329557,421.875,3.75986628,425.63486628,55429.785593430046,73906.38079124008,92382.9759890501,110859.57118686009,129336.16638467013,0.05039973490951269,102526.95038770388,170878.25064617314,93206.31853427623,245769.36144529376
2025-11-19,91077.39,0.03206635935,33253295935.40584,798079102.4497403,428.125,3.32947906,431.45447906,55492.234373496154,73989.6458313282,92487.05728916026,110984.46874699231,129481.88020482438,0.0492379110491358,102526.95038770387,170878.2506461731,93206.31853427624,249618.0332566992
2025-11-20,87186.46,0.03206635935,31796947208.307774,763126732.9993865,409.375,3.17346516,412.54846516,55493.60602057414,73991.47469409886,92489.34336762359,110987.21204114828,129485.08071467301,0.04713324628841518,102526.95038770387,170878.2506461731,93206.31853427624,238742.64601972242
2025-11-21,84887.42,0.03206635935,36894167753.15101,885460026.0756242,475.0,3.67191422,478.67191422,55494.79715256464,73993.0628700862,92491.32858760774,110989.59430512929,129487.86002265087,0.04588939379305957,102526.95038770387,170878.2506461731,93206.31853427622,276981.4075745515
2025-11-22,84929.48,0.03206635935,34709644662.50391,833031471.9000938,446.875,2.94749949,449.82249949,55557.34580937384,74076.46107916512,92595.5763489564,111114.69161874767,129633.80688853895,0.04586044136705522,102526.95038770387,170878.2506461731,93206.31853427626,260612.20138030776
2025-11-23,87097.56,0.03206635935,34466919874.654236,827206076.9917016,443.75,2.32061272,446.07061272,55632.85632835053,74177.14177113403,92721.42721391756,111265.71265670106,129809.99809948457,0.046967331401757476,102526.95038770388,170878.25064617314,93206.31853427624,258758.94654991
2025-11-24,88304.02,0.03206635935,34952369450.353584,838856866.8084861,450.0,2.59830127,452.59830127,55602.74073861767,74136.98765149023,92671.23456436279,111205.48147723534,129739.72839010792,0.0476437054146885,102526.95038770388,170878.25064617314,93206.31853427624,262372.23933550867
2025-11-25,87274.96,0.03206635935,28156075390.56261,675745809.3735027,362.5,3.15922502,365.65922502,55440.62037569616,73920.82716759489,92401.03395949361,110881.24075139232,129361.44754329105,0.04722618149395344,102526.95038770388,170878.25064617314,93206.31853427623,211581.8942124583
2025-11-26,90216.29,0.03206635935,40049589995.196815,961190159.8847237,515.625,2.93732033,518.56232033,55607.01899473026,74142.69199297368,92678.36499121711,111214.03798946051,129749.71098770396,0.048671709955473194,102526.95038770387,170878.2506461731,93206.31853427624,300813.7430042659
2025-11-27,91225.54,0.03206635935,34032599826.025066,816782395.8246015,446.875,2.9220422,449.7970422,54476.72967098503,72635.63956131338,90794.54945164172,108953.45934197005,127112.36923229841,0.05023734384440546,100527.06410148944,167545.10683581574,91388.24009226312,255589.52219651805
2025-11-28,91130.77,0.03206635935,35936521494.613884,862476515.8707331,471.875,2.87352893,474.74852893,54501.05455711073,72668.07274281431,90835.09092851791,109002.10911422146,127169.12729992507,0.050162755972642116,100527.06410148945,167545.10683581576,91388.24009226314,269824.02348761057
2025-11-29,90937.76,0.03206635935,32604658574.583447,782511805.7900027,428.125,2.23100245,430.35600245,54548.68536759288,72731.58049012384,90914.47561265482,109097.37073518576,127280.26585771673,0.05001280565453867,100527.06410148942,167545.1068358157,91388.24009226314,244748.99463208244
