days_since_halving,index_value,Era
1039,inf,Genesis Era
1040,inf,Genesis Era
1041,inf,Genesis Era
1042,inf,Genesis Era
1043,inf,Genesis Era
1044,inf,Genesis Era
1045,inf,Genesis Era
1046,inf,Genesis Era
1047,inf,Genesis Era
1048,inf,Genesis Era
1049,inf,Genesis Era
1050,inf,Genesis Era
1051,inf,Genesis Era
1052,inf,Genesis Era
1053,inf,Genesis Era
1054,inf,Genesis Era
1055,inf,Genesis Era
1056,inf,Genesis Era
1057,inf,Genesis Era
1058,inf,Genesis Era
1059,inf,Genesis Era
1060,inf,Genesis Era
1061,inf,Genesis Era
1062,inf,Genesis Era
1063,inf,Genesis Era
1064,inf,Genesis Era
1065,inf,Genesis Era
1066,inf,Genesis Era
1067,inf,Genesis Era
1068,inf,Genesis Era
1069,inf,Genesis Era
1070,inf,Genesis Era
1071,inf,Genesis Era
1072,inf,Genesis Era
1073,inf,Genesis Era
1074,inf,Genesis Era
1075,inf,Genesis Era
1076,inf,Genesis Era
1077,inf,Genesis Era
1078,inf,Genesis Era
1079,inf,Genesis Era
1080,inf,Genesis Era
1081,inf,Genesis Era
1082,inf,Genesis Era
1083,inf,Genesis Era
1084,inf,Genesis Era
1085,inf,Genesis Era
1086,inf,Genesis Era
1087,inf,Genesis Era
1088,inf,Genesis Era
1089,inf,Genesis Era
1090,inf,Genesis Era
1091,inf,Genesis Era
1092,inf,Genesis Era
1093,inf,Genesis Era
1094,inf,Genesis Era
1095,inf,Genesis Era
1096,inf,Genesis Era
1097,inf,Genesis Era
1098,inf,Genesis Era
1099,inf,Genesis Era
1100,inf,Genesis Era
1101,inf,Genesis Era
1102,inf,Genesis Era
1103,inf,Genesis Era
1104,inf,Genesis Era
1105,inf,Genesis Era
1106,inf,Genesis Era
1107,inf,Genesis Era
1108,inf,Genesis Era
1109,inf,Genesis Era
1110,inf,Genesis Era
1111,inf,Genesis Era
1112,inf,Genesis Era
1113,inf,Genesis Era
1114,inf,Genesis Era
1115,inf,Genesis Era
1116,inf,Genesis Era
1117,inf,Genesis Era
1118,inf,Genesis Era
1119,inf,Genesis Era
1120,inf,Genesis Era
1121,inf,Genesis Era
1122,inf,Genesis Era
1123,inf,Genesis Era
1124,inf,Genesis Era
1125,inf,Genesis Era
1126,inf,Genesis Era
1127,inf,Genesis Era
1128,inf,Genesis Era
1129,inf,Genesis Era
1130,inf,Genesis Era
1131,inf,Genesis Era
1132,inf,Genesis Era
1133,inf,Genesis Era
1134,inf,Genesis Era
1135,inf,Genesis Era
1136,inf,Genesis Era
1137,inf,Genesis Era
1138,inf,Genesis Era
