Time,Open,High,Low,Close
2021-06-21,35539.52,35539.52,29536.83,32749.77
2021-06-28,32748.1,36320.04,32748.1,35527.02
2021-07-05,35500.17,35500.17,32369.32,34288.49
2021-07-12,34283.93,34382.16,31253.28,31632.05
2021-07-19,31630.15,34849.8,29534.44,34849.8
2021-07-26,35031.43,42179.49,35031.43,40271.11
2021-08-02,40035.74,45172.49,37625.31,44098.74
2021-08-09,43810.42,47830.65,43151.27,47062.9
2021-08-16,47078.59,49529.24,44159.17,49381.94
2021-08-23,49436.09,50218.13,46777.5,49029.02
2021-08-30,49010.47,51859.25,46790.84,51830.51
2021-09-06,51844.6,52586.2,44699.95,46194.63
2021-09-13,46181.92,48507.64,44156.32,47297.63
2021-09-20,47290.35,47290.35,40752.77,43175.55
2021-09-27,43175.08,48962.81,41167.73,48004.41
2021-10-04,48093.07,55861.26,47438.0,54934.36
2021-10-11,54833.82,62262.54,54629.66,61167.33
2021-10-18,61373.88,66752.17,59835.15,60939.71
2021-10-25,60940.01,63554.64,58320.3,61474.26
2021-11-01,61525.12,63799.48,60198.78,63028.82
2021-11-08,63027.69,68428.04,63027.69,64755.21
2021-11-15,65011.46,66039.24,55751.84,59046.85
2021-11-22,58991.21,58991.21,53749.69,57127.56
2021-11-29,57332.61,58808.68,46770.87,49173.12
2021-12-06,49275.02,51838.68,47386.57,50133.04
2021-12-13,50129.92,50129.92,45743.25,46853.82
2021-12-20,46741.35,51378.31,45745.89,50717.92
2021-12-27,50713.2,51798.59,45869.83,47307.37
2022-01-03,47308.65,47318.16,40749.99,41773.59
2022-01-10,41753.88,44101.78,40736.29,43156.53
2022-01-17,43154.5,43176.24,34566.49,35507.76
2022-01-24,36294.6,38449.77,33425.77,37992.17
2022-01-31,37982.47,41860.58,36349.63,41860.58
2022-02-07,42026.85,45389.27,41731.29,42194.6
2022-02-14,42170.44,44350.78,38102.32,38532.56
2022-02-21,38497.33,39755.72,34646.27,37594.96
2022-02-28,37604.09,44617.05,37589.26,38485.29
2022-03-07,38469.84,42231.5,37241.21,37699.29
2022-03-14,37705.23,42198.2,37655.4,41249.05
2022-03-21,41236.62,46735.57,40742.37,46735.57
2022-03-28,46748.46,47893.73,44449.77,46369.39
2022-04-04,46344.65,46774.95,42170.01,42188.18
2022-04-11,42184.02,42199.63,39380.6,39754.93
2022-04-18,39731.93,42663.61,38840.13,39455.02
2022-04-25,39429.1,40668.87,37600.52,38446.72
2022-05-02,38451.77,39818.58,33981.56,34152.72
2022-05-09,34145.55,34199.02,26406.68,31135.69
2022-05-16,31182.69,31182.69,28834.92,30219.46
2022-05-23,30219.05,30516.13,28372.12,29330.84
2022-05-30,29394.67,32005.33,29302.18,29890.44
2022-06-06,29874.98,31539.84,27029.03,27029.03
2022-06-13,26945.06,26945.06,17785.41,20468.19
2022-06-20,20470.47,21620.74,19771.95,21128.55
2022-06-27,21109.86,21386.25,18821.59,19274.19
2022-07-04,19276.06,22125.48,19061.22,20851.42
2022-07-11,20868.12,21491.55,19074.11,20893.06
2022-07-18,20880.31,24013.62,20863.63,22671.37
2022-07-25,22657.13,24537.77,20829.74,23291.92
2022-08-01,23340.06,23451.58,22477.97,23167.36
2022-08-08,23165.45,24829.66,22883.87,24269.49
2022-08-15,24268.51,24903.82,20902.39,21592.11
2022-08-22,21579.74,21677.06,19726.03,19726.03
2022-08-29,19708.3,20435.96,19568.39,19903.86
2022-09-05,19942.15,21658.77,18642.31,21634.04
2022-09-12,21654.99,22628.64,19396.47,19461.96
2022-09-19,19450.58,19513.31,18408.07,18818.99
2022-09-26,18821.22,20223.41,18629.09,19034.17
2022-10-03,19042.16,20403.62,19042.16,19431.27
2022-10-10,19454.49,19756.86,18404.38,19268.58
2022-10-17,19269.99,19623.61,18811.03,19515.97
2022-10-24,19522.53,20905.68,19276.35,20637.82
2022-10-31,20639.77,21388.12,20132.94,21086.48
2022-11-07,20973.17,20973.17,15703.87,16380.81
2022-11-14,16374.22,16982.85,15854.24,16223.12
2022-11-21,16214.98,16711.52,15668.95,16445.89
2022-11-28,16433.96,17174.8,16088.67,17131.24
2022-12-05,17136.17,17357.63,16778.89,17110.52
2022-12-12,17056.97,18182.26,16614.19,16781.96
