time,PriceUSD,realised_price,thermocap_price,200_day_ma_priceUSD,Lagged_Energy_Value,mvrv_ratio,thermocap_multiple,200_day_multiple,Energy_Value_Multiple,PriceUSD_4_Year_CAGR,realised_price_4_Year_CAGR,thermocap_price_4_Year_CAGR,200_day_ma_priceUSD_4_Year_CAGR,Lagged_Energy_Value_4_Year_CAGR
2012-11-20,11.6991703167738,6.968021218050648,3.517888835916293,9.183454903008474,16.069156094495742,1.6789802945012735,3.325622514654177,1.273939975786366,0.728051320677704,,,,,
2012-11-21,11.7291351759205,6.978160220693544,3.5238949257621606,9.216817381065168,16.080852390388124,1.6808348912852513,3.3284576932678203,1.272579751880143,0.7293851651129676,,,,,
2012-11-22,12.2919979465225,6.9989142059251686,3.529958930251832,9.253038366933081,16.09193309099029,1.7562721280561333,3.4821929063196126,1.3284282912356151,0.7638608660015288,,,,,
2012-11-23,12.2802876195207,7.017377872244809,3.53680468627282,9.2891020256955,16.10447582934852,1.7499823784738449,3.4721418649956597,1.3220101992152724,0.76253879664567,,,,,
2012-11-24,12.4132043997662,7.028911587230046,3.5432299804681424,9.326050715580072,16.116095175156296,1.7660208477110744,3.503358367419924,1.331024758317981,0.7702364788029873,,,,,
2012-11-25,12.5296894897721,7.0467988407116735,3.5495246294479688,9.363492631851258,16.12732977515811,1.7780682793701965,3.5299626845301675,1.3381427190053603,0.7769227556239552,,,,,
2012-11-26,12.1846262399182,7.060350532777464,3.5560206143162905,9.399778319452075,16.310642469730237,1.725782053362852,3.4264779542794956,1.2962674039560178,0.7470353336804962,,,,,
2012-11-27,12.1592753845704,7.068294033157765,3.5621815665413443,9.435756146487435,16.487078555873314,1.720256023239915,3.4134350418236243,1.28863815425082,0.7375033328896714,,,,,
2012-11-28,12.3316598270018,7.08197962756385,3.568078826773789,9.472681784447692,20.26906451118798,1.7412729879941493,3.456106332200045,1.301812950926737,0.6083980748196373,,,,,
2012-11-29,12.4976616534191,7.0932030326166835,3.571640690529681,9.51044611744594,33.009191076139885,1.761920756525802,3.4991374374687374,1.3140983608007009,0.37861156986827266,,,,,
2012-11-30,12.5861389275278,7.109144330628695,3.5743493590980977,9.5483196324737,33.01901001121812,1.770415445541355,3.5212391579718476,1.3181522416491507,0.3811785672329877,,,,,
2012-12-01,12.5923868702513,7.1168231244289695,3.5779614512956255,9.586113364823204,33.03212810901053,1.769383143305486,3.5194305588986814,1.313607130545711,0.381216336673638,,,,,
2012-12-02,12.4979447565751,7.121293684027677,3.5810116477599445,9.623164166060784,33.04336097253709,1.755010439269861,3.490059789219906,1.2987354825196855,0.3782286180562068,,,,,
2012-12-03,12.6569578369375,7.134713414696352,3.5842046722817393,9.66100064681327,33.0549080388944,1.7739966697003164,3.5313155899883246,1.3101083727918457,0.3829070654816089,,,,,
2012-12-04,13.3695895815313,7.196685440516409,3.586845340057789,9.702257087307132,33.063705802990164,1.8577426639022236,3.7273950544284964,1.3779875611647021,0.40435847273726355,,,,,
2012-12-05,13.3127502220923,7.223622940455335,3.589697883165871,9.743258109361486,33.07328907887564,1.842946445548159,3.708599067493489,1.366355080884205,0.40252271826799757,,,,,
2012-12-06,13.4779245403273,7.241446615810552,3.5929529646587075,9.785176727220925,33.0840506318719,1.8612198991980946,3.75121096014892,1.3773818211002455,0.4073843523665505,,,,,
2012-12-07,13.4772824494448,7.26773524619698,3.596011194322902,9.827092032917886,33.09418377135199,1.8543992031764114,3.747842184340713,1.3714415621935607,0.4072402130404383,,,,,
2012-12-08,13.4999844091175,7.277074310675531,3.5992863546131337,9.86914625901958,33.10502387427058,1.8551390068001514,3.750739196345087,1.367897896616907,0.40779261964555685,,,,,
2012-12-09,13.3465108907072,7.289676764469952,3.6022306200303036,9.910234518974285,33.114921362413014,1.8308782847215384,3.7050684141358285,1.3467401669611117,0.4030361644118568,,,,,
2012-12-10,13.4922565809468,7.304474102618615,3.6056241955768877,9.952100013082994,32.945600139800156,1.8471222419845255,3.742003006718809,1.3557195529797659,0.40953136454319394,,,,,
2012-12-11,13.615415666277,7.321695699090754,3.609081911216651,9.994490707381651,32.47520793505267,1.8595986812136747,3.772542713414652,1.362292093205013,0.4192556886319723,,,,,
2012-12-12,13.6682136426067,7.344060857470592,3.612218241694667,10.037311881570721,32.485215546782285,1.8611247793110262,3.7838836770267457,1.3617404544041911,0.4207518224074262,,,,,
2012-12-13,13.7552515207481,7.374840219592791,3.6154235894019404,10.080415058499417,32.495300140140486,1.865159259207328,3.8046030238530024,1.3645520983930322,0.42329972215756345,,,,,
2012-12-14,13.6009222527762,7.384831446657759,3.617971431543851,10.122738042668031,32.50346018970244,1.841737668763142,3.759267454185632,1.343601128019651,0.41844536469028515,,,,,
2012-12-15,13.5309482887201,7.38892683903806,3.6207265222697127,10.164650430622446,32.951552492005426,1.831246753890129,3.737080998936644,1.331176943179099,0.4106315868426207,,,,,
2012-12-16,13.3328610765634,7.39374159863684,3.6233140644828743,10.205623413158973,32.96021287107596,1.8032630568292427,3.6797420370641505,1.306422992188034,0.40451380361877376,,,,,
2012-12-17,13.3200719514904,7.395587534063858,3.6264305832032355,10.246315574310348,32.970667745313996,1.8010836718703604,3.6730530602697335,1.299986502942248,0.4039976397925254,,,,,
2012-12-18,13.2720338690824,7.4038023966615905,3.629332626184664,10.286341024865578,32.9804204279619,1.7925969870652978,3.6568799931227645,1.2902580069044365,0.40242160945376926,,,,,
